Measurement_number,Seedling,Burn_Severity,Sterilization,Water,ABA_Concentration,Fv_Fm,Yield,F
1,163,Low_Old,Unsterilized,Water_Limitation,NA,0.067,0.699,NA
2,145,Never,Unsterilized,Water_Limitation,NA,0.771,0.513,0.184
4,521,Low_New,Unsterilized,Moist,NA,0.773,0.745,0.394
5,554,Never,Unsterilized,ABA,500,0.735,0.704,0.323
6,542,Never,Unsterilized,Moist,NA,0.741,0.715,0.34
7,410,Never,Sterilized,Moist,NA,0.749,0.724,0.218
8,361,Low_Old,Sterilized,Water_Limitation,NA,0.339,0.288,0.302
9,412,Never,Sterilized,Water_Limitation,NA,0.532,0.5,0.313
10,456,Low_New,Sterilized,ABA,100,0.424,0.371,0.439
11,419,High,Sterilized,ABA,500,0.595,0.534,0.172
12,025,Low_Old,Sterilized,Moist,NA,0.529,0.478,0.235
13,178,Low_Old,Unsterilized,Moist,NA,0.749,0.677,0.279
14,434,High,Sterilized,Moist,NA,0.65,0.595,0.281
15,246,High,Unsterilized,Water_Limitation,NA,0.719,0.631,0.244
16,645,High,Unsterilized,ABA,100,0.755,0.672,0.365
17,387,Low_Old,Sterilized,ABA,100,0.637,0.57,0.274
18,051,Low_New,Sterilized,Water_Limitation,NA,0.397,0.341,0.34
19,501,Low_New,Unsterilized,Moist,NA,0.789,0.723,0.285
20,511,Low_New,Unsterilized,Water_Limitation,NA,0.804,0.725,0.281
21,031,Low_New,Sterilized,Moist,NA,0.718,0.675,0.189
22,193,Low_Old,Unsterilized,ABA,100,0.776,0.713,0.495
23,445,High,Sterilized,ABA,300,0.662,0.623,0.285
24,270,High,Unsterilized,Moist,NA,0.731,0.651,0.285
25,432,High,Sterilized,Moist,NA,0.615,0.54,0.301
26,076,Never,Sterilized,Water_Limitation,NA,0.342,0.298,0.05
27,550,Never,Unsterilized,Water_Limitation,NA,0.784,0.753,0.058
28,158,Low_Old,Unsterilized,ABA,300,0.743,0.713,0.06
29,009,Low_Old,Sterilized,ABA,300,0.352,0.297,0.033
30,033,Low_Old,Sterilized,Moist,NA,0.642,0.569,0.066
31,581,Low_Old,Unsterilized,Moist,NA,0.78,0.745,0.05
32,229,Low_New,Unsterilized,Water_Limitation,NA,0.784,0.738,0.053
33,461,Low_New,Sterilized,Water_Limitation,NA,0.59,0.559,0.061
34,204,Low_New,Unsterilized,ABA,500,0.787,0.743,0.058
35,452,Low_New,Sterilized,ABA,300,0.579,0.527,0.054
36,407,Never,Sterilized,Moist,NA,0.552,0.491,0.07
37,219,Low_New,Unsterilized,Moist,NA,0.797,0.734,0.064
38,022,Low_Old,Sterilized,Water_Limitation,NA,0.455,0.397,0.099
39,164,Low_Old,Unsterilized,Water_Limitation,NA,0.747,0.712,0.069
40,240,High,Unsterilized,ABA,300,0.762,0.723,0.041
41,447,High,Sterilized,ABA,500,0.539,0.471,0.046
42,463,Low_New,Sterilized,Moist,NA,0.554,0.511,0.081
43,544,Never,Unsterilized,Moist,NA,0.757,0.708,0.091
44,097,High,Sterilized,Water_Limitation,NA,0.711,0.674,0.055
45,257,High,Unsterilized,Water_Limitation,NA,0.666,0.573,0.07
46,556,Never,Unsterilized,ABA,300,0.795,0.757,0.046
47,417,Never,Sterilized,ABA,300,0.567,0.505,0.058
48,103,High,Sterilized,Moist,NA,0.325,0.284,0.085
49,267,High,Unsterilized,Moist,NA,0.794,0.745,0.066
50,089,High,Sterilized,Water_Limitation,NA,0.513,0.467,0.081
51,147,Never,Unsterilized,Water_Limitation,NA,0.74,0.662,0.031
52,557,Never,Unsterilized,ABA,500,0.781,0.721,0.084
53,416,Never,Sterilized,ABA,500,0.605,0.558,0.085
54,637,High,Unsterilized,Moist,NA,0.773,0.647,0.083
55,433,High,Sterilized,Moist,NA,0.546,0.484,0.081
56,510,Low_New,Unsterilized,Water_Limitation,NA,0.759,0.694,0.093
57,043,Low_New,Sterilized,Water_Limitation,NA,0.447,0.397,0.059
58,234,Low_New,Unsterilized,ABA,300,0.785,0.737,0.064
59,064,Low_New,Sterilized,ABA,500,0.783,0.719,0.06
60,492,Low_New,Unsterilized,Moist,NA,0.791,0.725,0.058
61,058,Low_New,Sterilized,Moist,NA,0.579,0.514,0.064
62,615,High,Unsterilized,Water_Limitation,NA,0.758,0.676,0.059
63,100,High,Sterilized,Water_Limitation,NA,0.673,0.633,0.083
64,196,Low_Old,Unsterilized,ABA,500,0.781,0.743,0.068
65,003,Low_Old,Sterilized,ABA,300,0.567,0.513,0.091
66,376,Low_Old,Sterilized,Moist,NA,0.493,0.431,0.046
67,165,Low_Old,Unsterilized,Moist,NA,0.713,0.667,0.114
68,024,Low_Old,Sterilized,Water_Limitation,NA,0.484,0.447,0.071
69,584,Low_Old,Unsterilized,Water_Limitation,NA,0.736,0.699,0.043
70,252,High,Unsterilized,ABA,500,0.783,0.727,0.048
