sample,water,sterilization,burn_severity
Seedling264,Normal,Unsterilized,High
Seedling137,Normal,Unsterilized,Never
Seedling604,Drought,Unsterilized,Low_Old
Seedling223,Drought,Unsterilized,Low_New
Seedling187,Drought,Unsterilized,Low_Old
Seedling128,Drought,Unsterilized,Never
Seedling228,Drought,Unsterilized,Low_New
Seedling172,Normal,Unsterilized,Low_Old
Seedling173,Normal,Unsterilized,Low_Old
Seedling129,Drought,Unsterilized,Never
Seedling164,Drought,Unsterilized,Low_Old
Seedling163,Drought,Unsterilized,Low_Old
Seedling158,Normal,Unsterilized,Low_Old
Seedling193,Normal,Unsterilized,Low_Old
Seedling216,Normal,Unsterilized,Low_New
Seedling243,Drought,Unsterilized,High
Seedling212,Normal,Unsterilized,Low_New
Seedling138,Normal,Unsterilized,Never
Seedling026,Normal,Sterilized,Low_Old
Seedling141,Normal,Sterilized,Never
Seedling213,Normal,Unsterilized,Low_New
Seedling180,Drought,Unsterilized,Low_Old
Seedling262,Drought,Unsterilized,High
Seedling263,Normal,Unsterilized,High
Seedling148,Drought,Unsterilized,Never
Seedling545,Normal,Unsterilized,Never
Seedling161,Drought,Unsterilized,Low_Old
Seedling131,Drought,Unsterilized,Never
Seedling269,Normal,Unsterilized,High
Seedling224,Drought,Unsterilized,Low_New
Seedling248,Drought,Unsterilized,High
Seedling184,Drought,Unsterilized,Low_Old
Seedling270,Normal,Unsterilized,High
Seedling469,Normal,Sterilized,Low_New
Seedling165,Normal,Unsterilized,Low_Old
Seedling145,Drought,Unsterilized,Never
Seedling147,Drought,Unsterilized,Never
Seedling178,Normal,Unsterilized,Low_Old
Seedling234,Normal,Unsterilized,Low_New
Seedling246,Drought,Unsterilized,High
Seedling097,Drought,Sterilized,High
Seedling229,Drought,Sterilized,Low_Old
Seedling208,Normal,Unsterilized,Low_New
Seedling168,Normal,Unsterilized,Low_Old
Seedling219,Normal,Unsterilized,Low_New
Seedling267,Normal,Unsterilized,High
Seedling273,Normal,Unsterilized,High
Seedling170,Normal,Unsterilized,Low_Old
Seedling244,Drought,Unsterilized,High
